IP地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）,地区码,端口
188.166.162.201,4,4,0,250.83,42.33,FRA,443
104.207.131.222,4,4,0,156.06,40.48,FRA,8443
199.247.18.60,4,4,0,162.14,40.04,FRA,8443
92.246.139.182,4,4,0,253.96,39.37,FRA,2053
62.60.217.186,4,4,0,296.52,38.01,FRA,443
85.208.139.98,4,4,0,228.45,36.55,FRA,8443
80.240.23.230,4,4,0,186.28,36.28,FRA,8443
212.23.200.50,4,4,0,180.78,36.28,FRA,8443
194.9.6.73,4,4,0,211.02,36.22,FRA,555
85.114.138.9,4,4,0,202.29,35.35,DUS,2087
193.37.70.3,4,4,0,240.83,34.91,FRA,443
185.94.29.156,4,4,0,174.73,34.1,FRA,4001
62.60.217.235,4,4,0,267.09,34.07,FRA,2053
45.76.80.253,4,4,0,157.35,33.98,FRA,8443
185.58.159.206,4,4,0,203.05,33.78,FRA,443
185.254.97.252,4,4,0,178.04,33.76,FRA,1013
209.250.236.123,4,4,0,185.45,33.16,FRA,8443
136.244.80.24,4,4,0,184.09,32.9,FRA,8443
45.77.52.102,4,4,0,157.54,32.88,FRA,8443
14.102.229.105,4,3,0.25,242.11,32.86,LAX,2096
136.244.95.103,4,4,0,157.02,32.54,FRA,8443
45.145.42.229,4,4,0,190.19,31.16,FRA,4002
136.244.90.180,4,4,0,168.69,30.8,FRA,8443
185.94.29.46,4,4,0,202.53,30.73,FRA,2015
80.240.25.196,4,4,0,158.14,29.82,FRA,8443
45.128.99.24,4,4,0,239.23,29.43,ARN,443
194.107.126.20,4,4,0,200.99,29.11,FRA,556
85.208.139.98,4,4,0,207.49,28.66,FRA,8443
209.38.188.173,4,4,0,235.67,28.14,FRA,443
77.72.19.115,4,4,0,193.19,27.97,FRA,8443
5.39.249.146,4,4,0,250.11,27.16,FRA,443
89.169.54.114,4,4,0,286.8,27.05,FRA,443
185.247.118.7,4,4,0,228.39,26.94,FRA,443
91.199.118.214,4,4,0,204.55,26.17,FRA,8443
109.120.177.193,4,4,0,262.93,25.96,FRA,443
18.184.55.249,4,4,0,155.34,25.43,FRA,443
185.254.97.252,4,4,0,198.13,24.78,FRA,1013
2.59.134.248,4,4,0,205.09,24.78,FRA,1003
91.199.118.151,4,4,0,195.68,24.54,FRA,8443
91.199.118.211,4,4,0,185.91,24.05,FRA,8443
52.59.201.146,4,4,0,164.31,23.45,FRA,443
87.120.216.110,4,4,0,224.13,23.21,FRA,443
94.159.110.177,4,4,0,183.65,23.2,FRA,587
45.157.233.248,4,4,0,204.95,23.06,FRA,44403
45.153.230.220,4,4,0,196.07,22.99,FRA,443
89.39.121.142,4,4,0,198.56,22.91,FRA,443
18.153.254.136,4,4,0,182.11,22.84,FRA,8443
94.159.100.124,4,4,0,201.73,22.64,FRA,443
94.159.110.149,4,4,0,180.92,22.6,FRA,443
194.247.187.174,4,4,0,205.73,22.54,FRA,2053
94.159.97.98,4,4,0,196.69,22.48,FRA,443
18.156.209.101,4,4,0,172.34,22.47,FRA,443
193.37.70.63,4,4,0,243.54,22.44,FRA,443
66.151.40.21,4,1,0.75,154.21,22.38,FRA,8443
194.180.188.253,4,4,0,161.92,22.11,FRA,2053
14.102.228.250,4,3,0.25,245.85,21.52,LAX,2096
185.221.237.134,4,4,0,190.73,21.47,FRA,443
18.153.254.136,4,4,0,197.91,21.27,FRA,8443
66.151.40.245,4,4,0,214.49,21.27,FRA,4443
94.159.105.138,4,4,0,168.46,21.2,FRA,8443
91.199.118.215,4,4,0,191.44,21.01,FRA,8443
87.120.126.191,4,4,0,219.53,20.94,FRA,8443
3.68.62.122,4,4,0,173.84,20.85,FRA,443
94.159.111.159,4,4,0,170.29,20.73,FRA,2053
82.115.18.59,4,4,0,161.91,20.72,FRA,443
94.159.100.136,4,4,0,210.64,20.65,FRA,443
94.159.104.1,4,4,0,172.42,20.62,FRA,443
176.96.137.63,4,4,0,185.99,20.58,FRA,1008
45.157.233.248,4,4,0,202.19,20.45,FRA,44403
45.155.102.207,4,4,0,186.43,20.23,FRA,443
2.59.134.242,4,4,0,198.79,20.05,FRA,2002
31.25.236.84,4,4,0,239.66,20.03,EWR,443
193.23.219.31,4,4,0,167.19,20.01,FRA,443
194.247.187.191,4,4,0,166.95,19.99,MXP,443
77.110.99.160,4,4,0,301.4,19.87,FRA,2053
18.198.227.161,4,4,0,168.48,19.84,FRA,443
3.127.55.133,4,4,0,159.6,19.81,FRA,443
45.154.207.101,4,4,0,175.15,19.8,FRA,443
77.37.33.49,4,3,0.25,227.65,19.79,LAX,2087
77.110.107.199,4,4,0,189.99,19.67,FRA,443
213.108.20.161,4,4,0,297.36,19.65,FRA,443
185.246.223.68,4,4,0,201.39,19.55,FRA,443
193.23.219.132,4,4,0,187.01,19.52,FRA,443
194.180.188.184,4,4,0,199.1,19.31,FRA,443
62.133.60.155,4,4,0,231.99,19.18,FRA,443
14.102.229.47,4,3,0.25,231.9,19.11,LAX,2096
64.238.203.77,4,4,0,206.29,19.05,FRA,8443
194.247.186.117,4,4,0,190.17,19.01,FRA,8443
194.180.188.253,4,4,0,195.58,18.63,FRA,2053
77.37.33.28,4,3,0.25,230.09,18.55,LAX,2087
185.100.159.170,4,4,0,203.83,18.31,FRA,443
176.96.137.63,4,4,0,228.36,18.28,FRA,1008
179.61.132.245,4,4,0,186.92,18.22,FRA,8443
91.132.160.141,4,4,0,197.09,18.22,FRA,443
130.61.51.100,4,4,0,195.28,18.22,FRA,8443
91.239.157.94,4,4,0,200.39,18.2,FRA,8443
91.239.157.211,4,4,0,213.52,18.11,FRA,8443
81.19.141.75,4,4,0,197.91,18.08,FRA,443
185.194.177.48,4,4,0,176.51,18.03,FRA,443
193.23.219.17,4,4,0,178.72,17.9,FRA,443
77.90.6.193,4,4,0,170.77,17.85,FRA,2053
80.253.251.30,4,4,0,182.27,17.79,FRA,443
5.181.187.58,4,4,0,199.61,17.73,FRA,443
194.164.205.110,4,4,0,231.33,17.69,TXL,8443
64.238.203.125,4,4,0,210.69,17.68,FRA,8443
64.188.104.12,4,4,0,200.98,17.59,FRA,443
93.183.70.189,4,4,0,208.98,17.58,FRA,2053
77.90.6.193,4,4,0,199.39,17.55,FRA,2053
188.95.65.35,4,4,0,198.89,17.52,FRA,8443
85.159.226.183,4,4,0,188.54,17.44,FRA,2053
45.145.43.205,4,4,0,197.15,17.42,FRA,2053
64.188.70.20,4,4,0,172.1,17.41,FRA,443
91.239.130.198,4,4,0,203.13,17.41,FRA,8443
2.59.134.242,4,4,0,176.67,17.37,FRA,2002
64.238.203.72,4,4,0,211.8,17.29,FRA,8443
85.208.139.108,4,4,0,191.39,16.91,FRA,443
64.238.203.10,4,4,0,194.98,16.75,FRA,8443
188.95.65.36,4,4,0,187.43,16.73,FRA,8443
18.193.131.26,4,4,0,170.91,16.69,FRA,443
213.226.71.39,4,4,0,198.18,16.69,FRA,443
188.95.65.37,4,4,0,206.16,16.69,FRA,8443
194.87.71.141,4,4,0,209.84,16.68,FRA,443
192.124.178.227,4,3,0.25,176.3,16.67,FRA,8443
45.147.248.115,4,4,0,248.67,16.61,FRA,443
94.159.103.41,4,4,0,215.38,16.59,FRA,443
64.238.203.76,4,4,0,206.95,16.55,FRA,8443
35.157.240.237,4,4,0,209.92,16.55,FRA,443
185.250.180.145,4,4,0,162.3,16.52,FRA,443
64.238.203.124,4,4,0,196.29,16.49,FRA,8443
64.238.203.103,4,4,0,201.98,16.48,FRA,8443
64.238.203.120,4,4,0,205.72,16.42,FRA,8443
152.114.192.17,4,4,0,196.35,16.42,FRA,443
64.238.203.109,4,4,0,212.98,16.41,FRA,8443
93.183.70.189,4,4,0,243.66,16.39,FRA,2053
64.238.203.110,4,4,0,207.22,16.35,FRA,8443
45.129.78.69,4,4,0,196.41,16.29,FRA,2053
91.239.157.212,4,4,0,212.22,16.18,FRA,8443
185.110.189.174,4,4,0,190.76,16.17,FRA,443
5.39.249.10,4,4,0,250.98,16.16,FRA,8443
91.239.157.82,4,4,0,201.32,16.14,FRA,8443
64.238.203.74,4,4,0,218.19,16.08,FRA,8443
207.244.199.59,4,4,0,197.41,16.07,FRA,2053
64.238.203.121,4,4,0,211.27,16.04,FRA,8443
18.184.27.249,4,4,0,187.03,16.01,FRA,443
3.69.0.8,4,4,0,175.19,15.94,FRA,443
91.239.130.196,4,4,0,198.26,15.93,FRA,8443
85.215.56.126,4,4,0,231.29,15.92,FRA,443
87.106.39.39,4,4,0,205.38,15.92,TXL,443
64.238.203.12,4,4,0,228.62,15.9,FRA,8443
3.68.31.54,4,4,0,187.75,15.9,FRA,443
